"id","video","zona","num_periodo","minuto_inicio","minuto_final","acf_maxima","acf_promedio","lag_acf_max"
7,"Vid7Inv","piernas",5,20,25,0.752272299700099,0.422186056319665,0.23
9,"Vid9Inv","piernas",1,0,5,0.744887780463293,0.484992715827104,-1.67
10,"Vid9Inv","piernas",2,5,10,0.777817493921979,0.174050034285546,0.17
11,"Vid10Inv","cabeza",1,0,5,0.592557254883339,0.399733295516922,-0.97
12,"Vid10Inv","piernas",1,0,5,0.77797174367512,0.569969913066618,-0.97
13,"Vid10Inv","piernas",4,15,20,0.824854392402595,0.572595053158271,-0.03
15,"Vid11Inv","piernas",3,10,15,0.876039180104039,0.362112981424145,-0.1
16,"Vid11Inv","piernas",4,15,20,0.742016345196756,0.416801518856511,-0.03
17,"Vid11Inv","piernas",7,30,35,0.978717525384823,0.472829671688931,0.1
18,"Vid11Inv","piernas",8,35,40,0.90497673060701,0.376247486852507,0.07
19,"Vid14","cabeza",8,35,40,0.679246250245076,0.486381068361652,1.33
20,"Vid14","torso",8,35,40,0.651096885676633,0.539952522969701,1.33
21,"Vid14","piernas",8,35,40,0.737449003458265,0.594611274337758,1.57
22,"Vid15","piernas",1,0,5,0.707845085630597,0.195925848284267,-3
23,"Vid21","cabeza",1,0,5,0.451405638287649,0.338171108775658,0.27
24,"Vid21","torso",1,0,5,0.615115823914905,0.377982894148228,-2.3
25,"Vid21","piernas",1,0,5,0.646689808853956,0.459130208739998,-2.3
26,"Vid22","piernas",1,0,5,0.611687247840221,0.336515240507952,-1.43
27,"Vid23","cabeza",1,0,5,0.810765986361199,0.631134419003945,-0.27
29,"Vid23","cabeza",3,10,15,0.857128288947872,0.387915906140172,0.17
30,"Vid23","cabeza",4,15,20,0.689859183336082,0.312928589536817,-0.13
31,"Vid23","cabeza",5,20,25,0.661419527410726,0.400445784200045,0.13
32,"Vid24","piernas",1,0,5,0.703671204468093,0.389802691863442,-0.83
33,"Vid26","piernas",1,0,5,0.579435967686045,0.343604508487741,-2.77
34,"Vid26","piernas",2,5,10,0.882490421002983,0.413022936385918,1.33
35,"Vid27","cabeza",1,0,5,0.474315706863091,0.310997436098265,-2.47
36,"Vid27","torso",1,0,5,0.456862361336154,0.350561177107547,-1.2
37,"Vid27","piernas",1,0,5,0.634195511950163,0.483122145906814,-0.3
38,"Vid28","piernas",1,0,5,0.707230235662457,0.33900146541373,-0.13
